AGCnr,HIMANGA,ALFALFA,SPRINGOB,radeg,decdeg,hiflux,width,widtherr,snr,D,vhelagc,vhelio,vopt,v21,Ty,a,b,b/a,zmag,rms,hisrc,logMH,logMH_Limit,Type
11560,0,0,0,306.607086,2.909445,3.1,347,55,3,85.11,4961,5144.14,4965,4961,2.9,1,0.6,0.6,14.5,0,36,9.724234878,8.680053372,GBT22A_430
22699,0,0,0,53.401665,-36.140278,139.75,403,20,0,16.9,1639,1635.24,1636,1639,3.2,14,10,0.7142857143,10.1,0,2,9.974037229,7.2758656,GBT22A_430
26706,0,0,0,148.787506,-33.137222,43.52,331,25,0,37.58896398,3018,3014,3018,3018,,4.5,3.6,0.8,12.6,0,2,10.1617216,7.970212903,GBT22A_430
28810,0,0,0,191.87793,-39.570831,15.98,420,4,8.3,64.27,4649,3470.68,4792,4649,4.9,3.3,1.4,0.4242424242,13.3,6.9,29,10.19250538,8.436108791,GBT22A_430
29960,0,0,0,204.98291,-31.641945,43.11,100,10,0,3.25,417,436.86,417,417,8.9,6,2,0.3333333333,11.2,0,2,8.031256748,5.843858913,GBT22A_430
34954,0,0,0,330.407928,-21.511944,5.9,373,34,3.2,73.11,5189,5155.02,5154,5189,3.4,1.8,0.3,0.1666666667,15.1,0,36,9.871717582,8.548045759,GBT22A_430
35788,0,0,0,344.171661,-36.772778,20.3,212,12,0,19.8601263,2102,2103,2050,2102,,3.6,2,0.5555555556,13.8,0,25,9.276372053,7.416056203,GBT22A_430
35810,0,0,0,344.47876,-35.858055,42.68,268,4,9.3,24.32,1926,1716.47,1858,1926,5.8,4,0.9,0.225,13,22.7,29,9.775063555,7.592019332,GBT22A_430
140442,0,0,0,71.356667,18.418055,0.89,303,3,0,58.78836149,4639,4500,0,4639,,0.9,0.45,0.5,17,3.3,41,8.860884722,8.358674903,GBT22A_430
240937,0,0,0,223.662918,42.023888,11.44,0,0,0,40.59527446,2510,2518,2518,2510,,0.8,0.6,0.75,14.8,0,-1,9.648288991,8.037043155,GBT22A_430
300486,0,0,0,313.64624,56.498055,7.58,330,3,26.3,101.3880275,4446,9000,4384,4446,,0.5,0.25,0.5,18,0,47,10.26455456,8.832065539,GBT22A_430
430063,0,0,0,47.201252,-7.040555,4.29,439,6,11.6,122.46,9014,8680.67,8687,9014,1.4,1.4,0.4,0.2857142857,10,0,43,10.18135781,8.996080701,GBT22A_430
430359,0,0,0,53.755417,-24.933332,56.5,412,10,0,21.98,1472,1629.17,1463,1472,1.1,5.6,4.2,0.75,11.5,0,2,9.809015827,7.504147567,GBT22A_430
430428,0,0,0,55.567501,-4.730834,4.79,0,75,0,58.61,4218,4204.39,4204,4218,3.1,1.4,1,0.7142857143,0,0,-1,9.589190959,8.356035634,GBT22A_430
430559,0,0,0,57.272499,-3.060555,1.29,258,0,4.8,39.05452427,4057,4028,4021,4057,,1.6,0.4,0.25,0,0,43,8.666844417,8.003434895,GBT22A_430
460003,0,0,0,91.140419,-12.620556,20.8,280,14,5.8,32.36,2215,2213.49,2215,2215,3,2.7,0.5,0.1851851852,14,0,36,9.710992364,7.840109217,GBT22A_430
490057,0,0,0,139.04541,-16.313055,0.9,290,86,1.6,30.48,2368,2367.12,2514,2368,1.1,2.7,1,0.3703703704,12.8,1.7,36,8.295184438,7.788122116,GBT22A_430
490064,0,0,0,140.095413,-7.881389,12.9,377,22,8.8,53.02986847,3440,3439,3448,3440,,1.8,0.9,0.5,13.5,0,36,9.932542813,8.269133291,GBT22A_430
500202,0,0,0,162.574173,-12.109167,4.7,575,19,4.5,69.82,4606,4603.1,4551,4606,2.2,2.3,0.5,0.2173913043,14,0,36,9.73296955,8.50805188,GBT22A_430
520068,0,0,0,187.767075,-8.053889,34.3,235,30,0,18.63163716,1037,1091,1037,1037,,4.5,3.1,0.6888888889,11.7,0,2,9.448708159,7.360594227,GBT22A_430
550056,0,0,0,230.38501,-7.377223,35.5,168,7,0,29.79,1928,1920.87,1904,1928,3.1,1.7,1,0.5882352941,0,0,39,9.871281362,7.768233197,GBT22A_430
630248,0,0,0,355.447083,-3.668889,1.6,166,49,5.7,92.9,6601,6729.52,6852,6601,5.1,2,0.4,0.2,14.5,0,36,9.513063414,8.756123619,GBT22A_430
646,0,0,0,15.859582,32.236946,0.7,378,6,5.9,59.7,5298,5066.47,5319,5298,2.5,2,1,0.5,15,0.6,63,8.769958705,,GBT22A_430
1324,0,0,0,27.901251,19.103334,3.83,437,3,8.8,139.96,10088,10090.75,10059,10088,3,1.6,1.1,0.6875,14.6,1.6,52,10.24811864,,GBT22A_430
1993,0,0,0,37.916252,39.378056,7.88,488,11,9,119.67,8019,8012.94,8005,8019,3.2,2.4,0.6,0.25,14.3,3.1,56,10.4254088,,GBT22A_430
2353,0,0,0,43.213753,42.205002,1.11,184,79,3.2,50.74374851,3588,,3704,3588,,2.2,1.7,0.7727272727,13,2.2,56,8.829000074,,GBT22A_430
3329,0,0,0,84.134995,16.640833,2.29,498,3,9.7,67.92,5266,5248.28,5253,5266,4.1,1.4,0.6,0.4285714286,16,0.9,52,9.39674284,,GBT22A_430
6363,0,0,0,170.250839,21.336945,4.84,370,8,0,94.62,6306,6232.67,6244,6306,6,1.1,0.3,0.2727272727,15.2,0.9,54,10.00972325,,GBT22A_430
6904,0,0,0,178.938324,55.320553,9.82,188,8,8.2,23.99,1128,880.36,831,1128,4,4.1,1,0.243902439,12.9,9.6,71,9.125083987,,GBT22A_430
7879,0,0,0,190.704575,10.356945,1.59,329,14,8,115.35,7603,7552.91,7596,7603,1,1.21,0.33,0.2727272727,15.3,2.4,75,9.698344325,,GBT22A_430
8455,0,0,0,201.820404,32.029999,1.97,527,0,0,108.64,7294,7421.52,7322,7294,1.1,1.6,1.1,0.6875,14.4,0.9,23,9.739357743,,GBT22A_430
10030,0,0,0,236.751678,-0.985556,6.17,212,8,7,127.64,8960,8913.72,8953,8960,2.3,1.4,0.8,0.5714285714,15.4,5.2,68,10.37517076,,GBT22A_430
