AGCnr,HIMANGA,ALFALFA,SPRINGOB,radeg,decdeg,hiflux,width,widtherr,snr,D,vhelagc,vhelio,vopt,v21,Ty,a,b,b/a,zmag,rms,hisrc,logMH,logMH_Limit,Type
9356,0,1,0,218.222931,11.594722,14.78,235,2,87.2,36.40920012,2226,,2234,2226,,1.6,0.8,0.5,14.3,2.5,75,9.665008713,0,Archival
9814,0,1,1,229.855408,11.054167,4.43,189,4,30.3,50.94988827,3232,,3231,3232,,1.1,0.4,0.3636363636,14.7,2.4,75,9.433602201,0,Archival
10021,0,1,0,236.414581,28.088333,7.07,294,3,44,32.64721009,2151,,2111,2151,,1.4,0.35,0.25,14.9,2.1,75,9.250023565,0,Archival
10210,0,1,1,241.804169,7.978611,8.45,275,2,54.7,41.88,2848,2839.47,2847,2848,5.8,1.9,0.9,0.4736842105,14.1,2.1,75,9.543782058,0,Archival
11977,0,1,1,334.38916,33.255833,2.61,298,8,14.4,150.66,11290,11416.01,0,11290,8,1.2,0.9,0.75,16.5,2.3,75,10.14554844,0,Archival
11984,0,1,1,334.865021,29.395834,10.49,419,8,31.5,84.33,4578,4717.58,4718,4578,,1.8,0.8,0.4444444444,15.1,3.6,75,10.24565169,0,Archival
11994,0,1,1,335.221252,33.294724,6.92,425,4,31.8,71.45,4883,4821.92,4872,4883,4.1,2.5,0.3,0.12,15,2.3,75,9.921022564,0,Archival
12080,0,1,1,338.528351,5.57,3.71,509,1,19.6,62.23,4524,4529.88,4488,4524,2,1.8,0.9,0.5,13.4,0.6,52,9.530285515,0,Archival
12133,0,1,1,339.883759,8.612778,4.33,455,3,15.5,105.2,7423,7406.19,7391,7423,5.8,1.8,0.2,0.1111111111,15.7,1.1,66,10.05343138,0,Archival
12174,0,1,1,341.101257,-0.162222,8.38,380,7,10.8,86.7,4851,4865.44,4875,4851,0.2,1.7,1.2,0.7058823529,13.8,2.7,52,10.17219422,0,Archival
12332,0,1,1,345.815002,8.873889,1.47,306,3,15.8,63.39,4877,4843.53,4852,4877,1.1,1.6,1.1,0.6875,13,0.7,52,9.144270841,0,Archival
12353,0,1,1,346.451263,3.544722,7.38,254,3,18,86.6719724,4941,,4930,4941,,1.6,0.9,0.5625,14.3,2,52,10.11672572,0,Archival
12447,0,1,1,348.682495,4.533889,35.36,421,3,75.4,35.48,2692,2675.64,2607,2692,4.7,3.4,1.1,0.3235294118,12.7,1.8,63,10.02139148,0,Archival
12457,0,1,1,348.822083,19.041111,3.25,250,6,11.7,67.61,4689,4736.78,4672,4689,5.9,2.8,0.7,0.25,14.1,1.2,52,9.544817236,0,Archival
12527,0,1,1,350.094177,27.315277,3.01,266,19,17.2,42.03256623,4272,,4351,4272,,1,0.7,0.7,13.7,2.4,75,9.09865031,0,Archival
12614,0,1,1,352.116241,22.420834,9.89,295,2,18.3,46.77,3489,3501.74,3489,3489,4.9,2.5,1.8,0.72,12.7,2.3,52,9.708043034,0,Archival
12640,0,1,1,352.737091,15.490001,4.89,208,5,32.7,49.78214666,4015,,4009,4015,,1,0.12,0.12,15.6,2.3,75,9.456368102,0,Archival
12780,0,1,1,356.770416,29.483334,23.01,384,6,99.7,67.3,5153,5169.02,5180,5153,3.8,3.5,1.8,0.5142857143,13.2,2.6,75,10.39085875,0,Archival
12859,0,1,1,359.214569,5.508056,3.46,355,3,20,78.7,5404,5406.89,5390,5404,4,1.4,0.5,0.3571428571,15.5,1,52,9.703937566,0,Archival
110463,0,1,1,24.879999,33.824444,1.97,181,6,13,66.99,4832,4805.85,4833,4832,4.1,0.75,0.45,0.6,15.5,2.5,75,9.319398185,0,Archival
190489,0,1,0,146.644577,30.653055,2.02,364,5,10,159.22,9963,10070.98,9946,9963,3,0.77,0.55,0.7142857143,14.9,2.4,75,10.08225861,0,Archival
191256,0,1,0,144.015839,16.760279,1.99,219,26,12.9,125.2102757,8197,,8151,8197,,0.5,0.3,0.6,15.2,2.3,75,9.867045023,0,Archival
220986,0,1,1,191.190002,9.757222,2.58,393,4,13.7,206.06,13969,14007.02,13969,13969,5.2,0.5,0.33,0.66,15.6,2.1,75,10.4125191,0,Archival
230117,0,1,1,197.237488,28.280556,1.67,195,6,15.1,99.54,5852,5848.36,5849,5852,4,0.6,0.45,0.75,16.5,1.8,75,9.591623747,0,Archival
230801,0,1,1,208.536652,9.412777,1.69,146,4,12.6,94.62,6857,6554.23,6926,6857,7,1,0.7,0.7,15.6,2.5,75,9.552764595,0,Archival
240425,0,1,0,217.787079,27.237501,4.43,86,6,50.7,67.3,4457,4429.2,4480,4457,2.8,0.6,0.33,0.55,15,2.1,75,9.675345858,0,Archival
320019,0,1,1,331.286682,26.606945,3.18,249,31,18.5,96.68934138,6102,,6069,6102,,0.7,0.4,0.5714285714,15,2.4,75,9.846096327,0,Archival
330918,0,1,1,356.851685,28.393612,4.81,394,16,24.2,126.47,9022,9035.55,9028,9022,4.2,0.8,0.35,0.4375,15.1,2.2,75,10.25903212,0,Archival
740887,0,1,0,171.411667,22.831112,1.56,180,5,11,152.76,9431,9295.7,9484,9431,7.6,0.35,0.28,0.8,16.7,2.3,75,9.934055901,0,Archival
139,0,0,1,3.6325,-0.737778,11.32,291,4,15.9,52.24,3956,3960.04,3948,3956,5.2,2.4,1.3,0.5416666667,14.8,4,63,9.862764766,0,Archival
886,0,0,1,20.334583,40.488335,14.6,338,13,14.2,98.63,5854,6285.96,5859,5854,5,2.5,1.5,0.6,14,4.9,63,10.52528293,0,Archival
2855,0,0,1,57.087082,70.132782,102.53,424,2,22.2,17.86,1210,1199.12,1201,1210,5,4.6,2.2,0.4782608696,14.6,13.2,68,9.887525869,0,Archival
3122,0,0,1,69.964584,7.055,5.83,340,2,32.1,61.66,4686,4691.7,4700,4686,5.2,2.4,1.3,0.5416666667,14.8,0.9,63,9.718587599,0,Archival
3218,0,0,1,75.182922,62.244167,23.02,494,17,14,75.16,5228,5228.38,5223,5228,3.1,1.8,1,0.5555555556,15,5.3,56,10.48699087,0,Archival
3236,0,0,1,75.888336,6.656945,4.39,404,2,17.7,114.82,8514,8508.78,8508,8514,4,1.1,0.4,0.3636363636,15.6,1.2,64,10.13541161,0,Archival
3238,0,0,1,75.904167,1.572778,7.1,427,4,13,69.5,4754,4751.78,4753,4754,5.1,1.8,1.1,0.6111111111,13.5,2.4,63,9.908139961,0,Archival
3375,0,0,1,88.855835,51.910278,15.95,514,6,10.3,78.34,5793,5781.76,5794,5793,5.2,2.3,1.1,0.4782608696,14.6,4.3,63,10.36363982,0,Archival
3432,0,0,1,94.057503,57.051388,5.95,300,7,10.5,66.07,4996,4986.49,4998,4996,5.9,1.8,0.4,0.2222222222,15.5,2.8,63,9.787437582,0,Archival
3524,0,0,1,101.00251,12.401944,7.11,412,2,27.1,44.46,3922,3925.21,3997,3922,2.3,1.5,0.7,0.4666666667,16,1,64,9.52072052,0,Archival
3576,0,0,1,103.279167,50.03389,4.81,373,11,10.9,93.76,5970,5962.61,5966,5970,3,1.7,0.8,0.4705882353,14.6,2.2,56,9.999092277,0,Archival
3777,0,0,1,109.178337,29.855,12.84,275,1,36.4,56.4085866,3214,,3218,3214,,2,0.3,0.15,14.5,1.9,63,9.984167463,0,Archival
3782,0,0,1,109.42083,23.355833,30.5,344,3,37.5,36.14,2275,2464.7,2273,2275,5.8,3.7,0.5,0.1351351351,14.6,2.1,66,9.973188139,0,Archival
4195,0,0,1,121.27916,66.782784,6.51,364,4,11.1,67.92,4875,4885.95,4888,4875,3,2.1,1.1,0.5238095238,14.6,2.8,56,9.850488346,0,Archival
4966,0,0,1,140.508347,50.977501,141.22,590,1,31.1,14.52,635,668.38,631,635,2.9,7.4,3.5,0.472972973,9.9,15,71,9.846741443,0,Archival
5753,0,0,1,159.068344,37.324165,16.48,391,7,15.1,29.79,1573,1585.07,1571,1573,5.1,3.8,1.8,0.4736842105,11.5,3.8,59,9.538010217,0,Archival
6993,0,0,1,180.097916,-1.099722,29.18,334,2,22.3,21.21933347,1458,,1463,1458,,4.2,3.2,0.7619047619,12.4,5.8,52,9.491460766,0,Archival
8711,0,0,1,206.601669,46.106667,32.27,307,3,15,34.32097145,1508,,1503,1508,,4.2,0.8,0.1904761905,13,10.3,63,9.952830112,0,Archival
9201,0,0,1,215.599167,-0.388333,33.41,201,2,20.3,26.18,1638,1637.33,1641,1638,5.9,3.5,2.8,0.8,12.8,9.7,68,9.732727763,0,Archival
10738,0,0,1,257.774567,5.851944,4.8,593,4,14.2,89.13,6716,6598.08,6722,6716,4.1,1.9,0.3,0.1578947368,15.5,1.1,66,9.954201053,0,Archival
10743,0,0,1,257.877899,7.994445,4.6,214,6,14.1,36.14,2563,2550.42,2569,2563,1,1.2,0.5,0.4166666667,14.8,1.7,52,9.151646131,0,Archival
10891,0,0,1,263.101257,7.06,74.46,364,1,44.6,31.77,1665,1665.96,1673,1665,3.6,7,4.6,0.6571428571,13.2,9.7,70,10.24886946,0,Archival
11000,0,0,1,267.36084,36.145279,6.25,155,2,16.8,29.19938295,1369,,900,1369,,0.8,0.35,0.4375,14,2.6,64,9.099539368,0,Archival
11443,0,0,1,291.899597,54.372776,6.31,291,8,11.8,62.52,4361,4314.26,4315,4361,5.8,1.4,0.7,0.5,14.8,2.8,63,9.764979301,0,Archival
11589,0,0,1,308.209564,9.926945,8.87,442,1,19.1,61.66,4684,4654.45,4707,4684,2,2.2,0.6,0.2727272727,13.7,1.2,52,9.900842664,0,Archival
11590,0,0,1,308.244568,9.874445,3.36,221,7,17.5,58.88,4554,4783.6,4694,4554,2.1,1.3,0.5,0.3846153846,14.3,1.4,52,9.439186883,0,Archival
11725,0,0,1,320.257111,9.177501,2.86,309,3,11,96.83,6280,6324.9,6346,6280,8.1,1.1,0.35,0.3181818182,15.4,1.2,52,9.8012979,0,Archival
21656,0,0,1,32.325836,-23.415277,13.66,383,4,16.4,82.04,5334,5328.87,5321,5334,4.2,2.2,1.2,0.5454545455,13.2,4.7,68,10.33641401,0,Archival
25548,0,0,1,107.919579,-26.704445,43.99,327,4,19.4,41.11,2604,2588.71,2611,2604,3.1,2.6,1.7,0.6538461538,13,13.5,63,10.24416092,0,Archival
29511,0,0,1,200.182495,-22.049721,16.25,177,3,20.8,25.23,2087,1787.16,2099,2087,6.7,3.1,0.6,0.1935483871,14.7,4.9,63,9.387599869,0,Archival
31539,0,0,1,251.853729,-20.141666,9.32,230,7,11.1,118.7059041,6639,,6593,6639,,1.7,0.5,0.2941176471,0,8.1,63,10.49127256,0,Archival
33373,0,0,1,305.912506,-28.276112,12.99,218,4,10.4,32.21,3051,3055.26,2960,3051,5.9,2.2,1.5,0.6818181818,13.6,8.1,63,9.502502604,0,Archival
33399,0,0,1,306.2771,-24.808332,48.44,297,3,19.7,35.81,3169,3135.51,3186,3169,4,4.3,3.2,0.7441860465,11.9,9.5,71,10.16612478,0,Archival
35221,0,0,1,334.037506,-36.844997,8.92,423,4,13.6,45.08,3419,3418.93,3403,3419,4,3,1.6,0.5333333333,12.4,2,63,9.631244672,0,Archival
410368,0,0,1,27.765001,-9.702222,17.74,250,4,14.1,19.78904408,1830,,1829,1830,,2.7,1.3,0.4814814815,12.8,6.4,56,9.21471525,0,Archival
420126,0,0,1,37.676666,-2.939167,27.37,570,3,11.4,78.7,5741,5703.72,5738,5741,4.9,3.1,1.1,0.3548387097,13,7,68,10.60213627,0,Archival
420158,0,0,1,39.244999,-5.348889,4.87,180,4,12.2,53.20612445,4422,,4411,4422,,1.4,1,0.7142857143,13,3.3,63,9.512364216,0,Archival
420244,0,0,1,41.50042,-7.576667,67.94,301,1,30.6,21.31907453,1411,,1410,1411,,3.5,2,0.5714285714,11.5,9,63,9.862574241,0,Archival
450026,0,0,1,77.782089,-9.388611,26.31,277,3,12.4,43.38305745,2670,,2658,2670,,2.8,0.6,0.2142857143,0,11.5,68,10.06767316,0,Archival
450069,0,0,1,83.200836,-14.0625,21.64,452,3,12.8,49.43,3129,3128.73,3143,3129,4.4,4.5,2.4,0.5333333333,0,5.1,68,10.09615048,0,Archival
480005,0,0,1,121.407913,-11.427778,16.51,221,2,15,24.89,1580,1581.08,1586,1580,5.1,3.1,2.1,0.6774193548,12.1,7,68,9.382708869,0,Archival
480050,0,0,1,129.505005,-9.819445,4.81,397,7,11.6,69.89943124,4313,,4800,4313,,1.2,0.6,0.5,0,2.4,63,9.744004363,0,Archival
510059,0,0,1,171.259583,-9.794723,59.75,383,0,16.5,27.29,1871,1860.03,1861,1871,5,4.5,2.1,0.4666666667,11.7,11.1,71,10.02125698,0,Archival
510156,0,0,1,177.270828,-9.729722,5.61,209,9,10.4,85.51,5764,5772.15,5758,5764,4.7,2.1,1.5,0.7142857143,0,4.9,63,9.985908677,0,Archival
530120,0,0,1,200.453751,-13.205,14.28,215,2,14.8,44.44348904,2903,,2904,2903,,2.2,1.6,0.7272727273,13,5.9,63,9.823256502,0,Archival
550017,0,0,1,227.317505,-11.322222,32.54,326,2,28.4,27.93,1854,1851.83,1855,1854,5,3.3,1.8,0.5454545455,12.3,5,63,9.777471423,0,Archival
630233,0,0,1,354.702911,-6.517777,52.38,309,1,34,27.54,2017,2013.26,2015,2017,4.9,3.9,1.6,0.4102564103,12.3,6.8,63,9.972005369,0,Archival
3611,0,0,0,104.299164,20.437222,0,0,0,0,70.79,4983,4979.93,4983,0,0,1,0.5,0.5,15.1,0,0,-9,8.520036016,GBT22A_430
3634,0,0,0,105.402916,14.134722,0,0,0,0,112.2,7891,7883.72,7891,0,1,1.1,0.8,0.7272727273,15.5,0,65,-9,8.920077905,GBT22A_430
4455,0,0,0,127.886665,-1.198056,0,0,0,0,125.31,9299,9304.54,9299,0,1,1,0.8,0.8,15,0,0,-9,9.016063651,GBT22A_430
4510,0,0,0,130.210007,73.486382,0,0,0,0,51.76,3623,3587.54,3623,0,0.4,1.4,0.5,0.3571428571,14.5,0,0,-9,8.248080726,GBT22A_430
5066,0,0,0,142.782913,46.384167,0,0,0,0,73.45,5063,5063.86,5063,0,4.1,1.2,0.7,0.5833333333,15.5,0,0,-9,8.552075791,GBT22A_430
5645,0,0,0,156.797485,71.417496,0,0,0,0,194.09,10493,10492.65,10493,0,3.1,1.2,0.35,0.2916666667,16,0,0,-9,9.396098511,GBT22A_430
6015,0,0,0,163.509995,46.0275,0,0,0,0,177.83,12468,12449.57,12468,0,5.8,1,0.8,0.8,14.9,0,0,-9,9.320102248,GBT22A_430
10244,0,0,0,242.48082,43.128887,0,0,0,0,129.42,9777,9851.87,9777,0,3.8,1.2,0.15,0.125,15.4,0,0,-9,9.044094982,GBT22A_430
10483,0,0,0,248.62001,76.029167,0,0,0,0,170.61,12202,12192.26,12202,0,3.8,1.2,0.5,0.4166666667,16,0,0,-9,9.284101157,GBT22A_430
11260,0,0,0,277.605011,34.102776,0,0,0,0,93.33,6266,6123.55,6266,0,1.1,1.3,1,0.7692307692,15.5,0,0,-9,8.760134723,GBT22A_430
20503,0,0,0,11.384167,-26.564722,0,0,0,0,85.10457318,6831,6831,6831,0,,1.2,0.8,0.6666666667,15,0,0,-9,8.679997987,GBT22A_430
21306,0,0,0,25.087919,-28.913889,0,0,0,0,80.79433523,5462,5624,5462,0,,1.3,1,0.7692307692,13.7,0,0,-9,8.634854015,GBT22A_430
22318,0,0,0,46.31583,-39.56139,0,0,0,0,82.41,6045,6053.44,6045,0,3.7,1.2,0.4,0.3333333333,15.7,0,0,-9,8.652052019,GBT22A_430
23036,0,0,0,5860.33%,-1919.03%,0,0,0,0,102.8,6497,7490.75,6497,0,3.2,1.1,0.5,0.4545454545,14.9,0,0,-9,8.84407842,GBT22A_430
23161,0,0,0,61.119999,-17.905832,0,0,0,0,119.1646133,8115,8115,8115,0,,2,0.4,0.2,15.3,0,0,-9,8.972386807,GBT22A_430
24007,0,0,0,76.284584,-18.987223,0,0,0,0,91.44222775,7801,7801,7801,0,,1.6,0.7,0.4375,15.5,0,0,-9,8.742385787,GBT22A_430
24223,0,0,0,80.571671,-25.603056,0,0,0,0,112.2,9407,9366.67,9407,0,4,1.1,0.4,0.3636363636,15.7,0,0,-9,8.920077905,GBT22A_430
25281,0,0,0,100.262917,-38.035557,0,0,0,0,138.68,10195,10187.38,10195,0,1.5,1.5,0.6,0.4,14.9,0,0,-9,9.104119857,GBT22A_430
26744,0,0,0,149.736237,-18.818335,0,0,0,0,148.7806316,12224,12254,12224,0,,1,0.6,0.6,15.7,0,0,-9,9.165184987,GBT22A_430
27869,0,0,0,170.921661,-22.270834,0,0,0,0,114.82,8314,8180.57,8314,0,3.2,1,0.6,0.6,0,0,0,-9,8.940127276,GBT22A_430
27994,0,0,0,174.497513,-32.325001,0,0,0,0,131.83,8819,8804.69,8819,0,3.8,1.7,1.3,0.7647058824,14.1,0,0,-9,9.060120695,GBT22A_430
29613,0,0,0,201.385834,-24.653055,0,0,0,0,136.77,9952,9951.7,9952,0,5,1.1,0.3,0.2727272727,16,0,0,-9,9.092073885,GBT22A_430
30270,0,0,0,209.571655,-23.371666,0,0,0,0,139.32,10970,10797.17,10970,0,2.7,1.4,0.7,0.5,15.7,0,0,-9,9.108119123,GBT22A_430
32512,0,0,0,291.08374,-25.985001,0,0,0,0,79.07,6093,6156.87,6093,0,2.2,1.2,0.8,0.6666666667,16,0,0,-9,8.616115669,GBT22A_430
36444,0,0,0,358.688324,-25.673056,0,0,0,0,101.86,9091,9090.61,9091,0,4.6,1.5,1.1,0.7333333333,15.8,0,0,-9,8.836099535,GBT22A_430
36511,0,0,0,359.632507,-18.71389,0,0,0,0,143.88,10206,10199.16,10206,0,2,1.4,0.7,0.5,15.5,0,0,-9,9.136093049,GBT22A_430
103059,0,0,0,8.793333,23.254999,0,0,0,0,165.96,11032,11034.13,11032,0,,0.7,0.3,0.4285714286,17,0,0,-9,9.260099043,GBT22A_430
111609,0,0,0,21.775417,19.116388,0,0,0,0,208.93,12924,12925.03,12924,0,,0.3,0.2,0.6666666667,17.2,0,0,-9,9.4600938,GBT22A_430
111724,0,0,0,27.427916,32.625275,0,0,0,0,159.96,11281,11355.92,11281,0,,0.6,0.25,0.4166666667,16.3,0,0,-9,9.228114982,GBT22A_430
114578,0,0,0,21.093334,3.588055,0,0,0,0,101.86,7381,7376.77,7381,0,,0.4,0.3,0.75,16.8,0,0,-9,8.836099535,GBT22A_430
116545,0,0,0,17.954584,14.640833,0,0,0,0,172.98,11692,11685.13,11692,0,,0.18,0.12,0.6666666667,18,0,0,-9,9.296083977,GBT22A_430
116546,0,0,0,15.399166,17.101112,0,0,0,0,123.03,9275,9274.78,9275,0,,0.2,0.15,0.75,18,0,0,-9,9.000114239,GBT22A_430
120570,0,0,0,43.569168,42.725555,0,0,0,0,88.72,6331,6332.6,6331,0,4.6,0.7,0.3,0.4285714286,14.7,0,0,-9,8.716135257,GBT22A_430
121124,0,0,0,42.2925,14.600834,0,0,0,0,116.41,8727,8727.42,8727,0,,0.25,0.2,0.8,16.4,0,0,-9,8.95207277,GBT22A_430
125814,0,0,0,34.576668,37.464447,0,0,0,0,159.22,8994,11671.4,8994,0,4.8,0.8,0.6,0.75,15.8,0,0,-9,9.22408743,GBT22A_430
125815,0,0,0,43.237503,1.606389,0,0,0,0,202.3,10794,10794.21,10794,0,,0.4,0.18,0.45,17,0,0,-9,9.432083957,GBT22A_430
125817,0,0,0,33.993748,12.237223,0,0,0,0,77.27,5773,5772.64,5773,0,,0.18,0.1,0.5555555556,18,0,0,-9,8.596114016,GBT22A_430
131345,0,0,0,51.504585,40.694725,0,0,0,0,64.27,4195,5454.02,4195,0,,0.5,0.25,0.5,17.3,0,0,-9,8.436108791,GBT22A_430
151168,0,0,0,86.936249,53.606667,0,0,0,0,120.23,7920,7920.41,7920,0,,0.5,0.4,0.8,17,0,0,-9,8.980117885,GBT22A_430
160387,0,0,0,102.65667,31.123056,0,0,0,0,79.43,5462,5563.86,5462,0,3.8,0.45,0.22,0.4888888889,0,0,0,-9,8.620061316,GBT22A_430
160904,0,0,0,99.31958,49.849998,0,0,0,0,89.54,5786,5791.2,5786,0,,0.8,0.6,0.75,16.5,0,0,-9,8.724126371,GBT22A_430
175126,0,0,0,112.572083,25.031666,0,0,0,0,188.8,12799,12798.81,12799,0,,0.18,0.12,0.6666666667,19,0,0,-9,9.372096171,GBT22A_430
180952,0,0,0,122.931244,41.555,0,0,0,0,142.56,9458,9452.34,9458,0,0.5,0.7,0.45,0.6428571429,15.3,0,0,-9,9.128087564,GBT22A_430
184750,0,0,0,121.331665,22.964167,0,0,0,0,177.83,13414,13461.98,13414,0,5,0.29,0.12,0.4137931034,18,0,0,-9,9.320102248,GBT22A_430
191474,0,0,0,137.387909,50.282776,0,0,0,0,71.45,4888,5015.2,4888,0,2.5,0.6,0.15,0.25,0,0,0,-9,8.528096657,GBT22A_430
198643,0,0,0,146.263336,64.2575,0,0,0,0,80.54,5298,5333.07,5298,0,1.3,0.6,0.2,0.3333333333,15.7,0,0,-9,8.632115442,GBT22A_430
200048,0,0,0,151.436249,10.275,0,0,0,0,91.62,7160,7176.77,7160,0,0,1.1,0.66,0.6,15.5,0,0,-9,8.744072766,GBT22A_430
200208,0,0,0,153.925842,55.667225,0,0,0,0,111.69,7254,7294.8,7254,0,3,0.8,0.6,0.75,0,0,0,-9,8.916120773,GBT22A_430
204982,0,0,0,162.031265,0.167222,0,0,0,0,166.72,11758,11868.89,11758,0,3,0.51,0.36,0.7058823529,15.9,0,0,-9,9.264067594,GBT22A_430
206431,0,0,0,156.674988,36.681389,0,0,0,0,110.66,7387,7520.38,7387,0,7.1,0.41,0.25,0.6097560976,17.2,0,0,-9,8.908073523,GBT22A_430
207676,0,0,0,159.383347,65.018333,0,0,0,0,96.83,6757,6746.12,6757,0,5,0.7,0.32,0.4571428571,15.4,0,0,-9,8.792112055,GBT22A_430
215538,0,0,0,169.452515,13.727777,0,0,0,0,97.72,7462,7463.09,7462,0,5.9,0.48,0.34,0.7083333333,16.3,0,0,-9,8.800059108,GBT22A_430
219861,0,0,0,165.332916,70.665276,0,0,0,0,132.43,9245,9244.77,9245,0,,0.3,0.22,0.7333333333,17,0,0,-9,9.064064949,GBT22A_430
222248,0,0,0,193.707077,58.882221,0,0,0,0,46.34,2580,2580.12,2580,0,0,0.6,0.25,0.4166666667,15.1,0,0,-9,8.15200425,GBT22A_430
226495,0,0,0,191.603333,11.949445,0,0,0,0,188.8,13748,13739.18,13748,0,3.1,0.68,0.1,0.1470588235,17.5,0,0,-9,9.372096171,GBT22A_430
229559,0,0,0,181.336655,40.945557,0,0,0,0,194.98,13791,13488.9,13791,0,,0.25,0.17,0.68,18,0,0,-9,9.400072323,GBT22A_430
239288,0,0,0,203.055008,84.678612,0,0,0,0,106.17,7176,7175.95,7176,0,,0.2,0.14,0.7,18,0,0,-9,8.872095826,GBT22A_430
239289,0,0,0,204.198349,5.1425,0,0,0,0,148.59,13569,13567.03,13569,0,,0.5,0.2,0.4,17,0,0,-9,9.164071356,GBT22A_430
256294,0,0,0,230.671661,50.976665,0,0,0,0,152.05,10417,10478.55,10417,0,10,0.28,0.15,0.5357142857,18,0,0,-9,9.18406504,GBT22A_430
257439,0,0,0,238.232086,65.935555,0,0,0,0,165.2,10920,10923.37,10920,0,4.2,0.65,0.13,0.2,17,0,0,-9,9.256112277,GBT22A_430
260804,0,0,0,252.463364,40.433334,0,0,0,0,127.06,8863,8666.15,8863,0,6,0.55,0.31,0.5636363636,15.7,0,0,-9,9.028109893,GBT22A_430
270260,0,0,0,266.035828,40.867222,0,0,0,0,167.49,12108,11781.39,12108,0,2.7,0.6,0.4,0.6666666667,15,0,0,-9,9.268069956,GBT22A_430
270462,0,0,0,257.996246,46.556667,0,0,0,0,101.86,6892,6891.68,6892,0,,0.6,0.4,0.6666666667,16.5,0,0,-9,8.836099535,GBT22A_430
272733,0,0,0,269.874176,43.391945,0,0,0,0,110.66,7656,7655.99,7656,0,4.2,0.9,0.4,0.4444444444,16,0,0,-9,8.908073523,GBT22A_430
272734,0,0,0,263.907928,8.810834,0,0,0,0,179.47,10663,10663.29,10663,0,,0.4,0.3,0.75,17,0,0,-9,9.328075917,GBT22A_430
272735,0,0,0,259.328339,33.463055,0,0,0,0,128.23,9102,9013.93,9102,0,3.5,0.8,0.22,0.275,17,0,0,-9,9.036071476,GBT22A_430
272736,0,0,0,256.066681,41.510277,0,0,0,0,154.88,9893,9892.53,9893,0,,0.2,0.14,0.7,18,0,0,-9,9.200082871,GBT22A_430
272737,0,0,0,259.458344,40.881111,0,0,0,0,133.66,9401,9294.55,9401,0,,0.35,0.15,0.4285714286,17.5,0,0,-9,9.072095105,GBT22A_430
272738,0,0,0,260.923737,30.497499,0,0,0,0,95.94,7009,7105.01,7009,0,,0.18,0.12,0.6666666667,19,0,0,-9,8.784091619,GBT22A_430
272739,0,0,0,263.667084,26.304998,0,0,0,0,100.4936985,8600,8600,8600,0,,0.22,0.15,0.6818181818,17.5,0,0,-9,8.824369851,GBT22A_430
290421,0,0,0,289.865845,44.246944,0,0,0,0,147.0423483,12600,12600,12600,0,,0.2,0.15,0.75,18.5,0,0,-9,9.154977051,GBT22A_430
310069,0,0,0,320.177094,44.399723,0,0,0,0,56.49,3988,3894.22,3988,0,9,0.8,0.5,0.625,15.6,0,0,-9,8.324035341,GBT22A_430
310983,0,0,0,320.920837,33.118889,0,0,0,0,231.21,14821,14821.23,14821,0,,0.5,0.4,0.8,17,0,0,-9,9.548105418,GBT22A_430
311262,0,0,0,324.922089,24.404999,0,0,0,0,159.96,11092,11506.12,11092,0,,0.6,0.4,0.6666666667,16,0,0,-9,9.228114982,GBT22A_430
311400,0,0,0,318.095856,14.779166,0,0,0,0,139.32,9068,9068.13,9068,0,,0.3,0.2,0.6666666667,18,0,0,-9,9.108119123,GBT22A_430
321738,0,0,0,334.049591,37.474445,0,0,0,0,83.56,5402,5854.06,5402,0,2,0.8,0.3,0.375,15.8,0,0,-9,8.664089054,GBT22A_430
323628,0,0,0,333.669586,5.078611,0,0,0,0,94.19,7791,7758.36,7791,0,,0.6,0.3,0.5,16.5,0,0,-9,8.768101785,GBT22A_430
323629,0,0,0,343.353333,4.799444,0,0,0,0,115.88,7256,7255.52,7256,0,,0.5,0.35,0.7,16,0,0,-9,8.948109164,GBT22A_430
323630,0,0,0,336.381653,38.983891,0,0,0,0,129.42,9543,9542.75,9543,0,,0.5,0.28,0.56,17,0,0,-9,9.044094982,GBT22A_430
323632,0,0,0,330.456238,13.055555,0,0,0,0,122.46,9346,9346.21,9346,0,,0.2,0.12,0.6,18,0,0,-9,8.996080701,GBT22A_430
331536,0,0,0,354.485413,27.276667,0,0,0,0,121.34,8394,8394.88,8394,0,,0.18,0.12,0.6666666667,18.3,0,0,-9,8.988100172,GBT22A_430
337143,0,0,0,349.76004,13.790556,0,0,0,0,202.3,14690,14869.22,14690,0,,0.2,0.14,0.7,18,0,0,-9,9.432083957,GBT22A_430
337144,0,0,0,355.059143,26.202778,0,0,0,0,150.66,9593,9245.82,9593,0,,0.5,0.18,0.36,16.5,0,0,-9,9.176088117,GBT22A_430
400635,0,0,0,14.075417,-1.625833,0,0,0,0,195.88,13422,13412.39,13422,0,,0.4,0.3,0.75,0,0,0,-9,9.404072382,GBT22A_430
411448,0,0,0,24.652916,-4.682777,0,0,0,0,202.3,14625,14830.81,14625,0,5,0.75,0.6,0.8,16,0,0,-9,9.432083957,GBT22A_430
411450,0,0,0,23.562084,-17.810278,0,0,0,0,181.97,13291,13291.45,13291,0,,0.22,0.16,0.7272727273,17.2,0,0,-9,9.340091781,GBT22A_430
421112,0,0,0,35.804996,-4.517222,0,0,0,0,76.21,5393,5348.07,5393,0,3.2,0.7,0.4,0.5714285714,15.8,0,0,-9,8.584116114,GBT22A_430
