DSS,SN,NED Preference,SIMBAD only,Differnt From DSS,subcatalog,zCMB,vCMB,SN Ra,SN Dec,mu,e_mu,sep,gal long (l),gal lat (b),DSSvhelio,sep,OSC SN name,redshift,OSC velocity,OSC vhelio,|v_DSS-v_OSC|,|OSC velocity-v_OSCvhelio|,|v_DSS-v_OSCvhelio|,sep,AOD Host,host ra deg,host ra wrap,host dec deg,hostoffsetdist,Host z,Host vhelio,SIMBAD Host,SIMBAD z,SIMBAD v,sep,AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc,RAwrap,Separation,|v_AGC-v_Host|,|v_AGC-v_DSS|,|v_Host-v_DSS|,sep,NED,SIMBAD,DR16,LEGACY
13,sn2000cf,SN 2000cf,,,A2.1: A1,0.036473333,10905.52657,238.1457958,65.92954038,35.34581797,0.156411953,,99.883,42.166,10895.90082,,sn2000cf,0.0353,10920,10582.94,24.1,337.1,313.0,,MCG +11-19-25,238.2333333,238.2333333,+65.9361111111111,1.60,0.036425,10920.2,,,,,257439,238.232086,65.935555,0.65,0.13,17,10920,0,0,0,0,0,0,0,10920,238.232086,128.5216742,0.2,24.1,24.3,,,,,
14,sn2000ce,SN 2000ce,,,A2.1: A1,0.016486667,4929.513433,121.2799348,66.78424729,33.42067288,0.223510391,,149.096,32.003,4871.468961,,sn2000ce,0.01631,4888,4889.738,16.5,1.7,18.3,,UGC 4195,121.2791667,121.2791667,+66.7830555555555,6.52,0.016261,4875.0,,,,,4195,121.27916,66.782784,2.1,1.1,14.6,4888,6.51,2.8,4875,364,4,11.1,56,4875,121.27916,5.381374793,0.0,3.5,3.6,,,,,
15,sn2000ca,SN 2000ca,,,A2.1: A1,0.024483333,7320.516567,203.8490942,-34.19374553,34.22144048,0.147801932,,313.204,27.833,7048.153606,,sn2000ca,0.02362,7200,7081.276,151.8,118.7,33.1,,ESO 383-G32,203.8458333,203.8458333,-34.1619444444444,2.04,0.023616,7080.1,,,,,29862,203.859573,-34.190002,1.2,0.4,15.6,7271,0,0,0,0,0,0,0,7271,203.859573,33.98943862,190.9,222.8,31.9,,,,,
16,sn2000bk,SN 2000bk,,,A2.1: A1,0.026586667,7949.413433,188.4759284,-7.41169832,34.41833261,0.202870405,,295.291,55.233,7601.466537,,sn2000bk,0.025444,7628,7628.1112,26.5,0.1,26.6,,NGC 4520,188.4583333,188.4583333,-7.37527777777778,23.24,0.025444,7628.1,,,,,520074,188.457916,-7.376389,3.4,2.2,0,7628,0,0,0,0,0,0,0,7628,188.457916,142.453652,0.1,26.5,26.6,,,,,
17,sn2000bh,SN 2000bh,,,A2.1: A1,0.024183333,7230.816567,185.2747632,-22.0272489,34.28382908,0.185978511,,293.74,40.334,6887.932164,,sn2000bh,0.02281,6905,6838.438,17.1,66.6,49.5,,ESO 573-G14,185.3166667,185.3166667,-21.9955555555556,5.46,0.022862,6854.0,,,,,28479,185.316666,-21.995277,1.8,1.2,0,6905,1.38,2.8,6854,221,12,3.1,63,6854,185.316666,181.1272054,0.0,33.9,33.9,,,,,
18,sn2000b,SN 2000b,,,A2.1: A1,0.019923333,5957.076567,106.4123163,50.63601755,33.66836863,0.252651966,,166.353,22.791,5880.693098,,sn2000b,0.01983,5725,5945.034,155.7,220.0,64.3,,NGC 2320,106.4208333,106.4208333,+50.5802777777778,5.23,0.019827,5944.1,,,,,3659,106.425003,50.580555,1.4,0.8,13.9,5725,0,0,0,0,0,0,0,5725,106.425003,201.7579695,219.1,155.7,63.4,,,,,
19,sn1999x,SN 1999x,,,A2.1: A1,0.025733333,7694.266567,133.6469298,36.50088334,34.57142287,0.185428991,,186.585,39.591,7476.823731,,sn1999x,0.02517,7500,7545.966,23.2,46.0,69.1,,CGCG 180-022,133.6333333,133.6333333,+36.5094444444444,3.86,0.02504,7507.0,,,,,180536,133.63208,36.509445,0.4,0.2,15.7,7503,0,0,0,0,0,0,0,7503,133.63208,52.8817447,4.0,26.2,30.2,,,,,
20,sn1999gp,SN 1999gp,,,A2.1: A1,0.02602,7779.98,37.85860654,39.403992,34.64679579,0.145703719,,143.251,-19.504,7991.93085,,sn1999gp,0.02675,8005,8019.65,13.1,14.6,27.7,,UGC 1993,37.91666667,37.91666667,+39.3788888888889,4.99,0.026749,8019.4,,,,,1993,37.916252,39.378056,2.4,0.6,14.3,8005,7.88,3.1,8019,488,11,9,56,8019,37.916252,185.5801359,0.4,27.1,27.4,,,,,
21,sn1999gh,SN 1999gh,,,A2.1: A1,0.00879,2628.21,146.0217441,-21.26804406,31.81914788,0.177805796,,255.048,23.736,2293.519598,,sn1999gh,0.007679,2310,2302.1642,16.5,7.8,8.6,,NGC 2986,146.0666667,146.0666667,-21.2783333333333,7.87,0.007679,2302.2,,,,,26593,146.025421,-21.286667,1.5,0.5,14.4,0,0,0,0,0,0,0,0,0,146.025421,68.16780119,2302.2,2293.5,8.6,,,,,
22,sn1999gd,SN 1999gd,,,A2.1: A1,0.01925,5755.75,129.6181934,25.79370754,33.64694564,0.213722886,,198.835,33.977,5515.468183,,sn1999gd,0.01851,5472,5549.298,43.5,77.3,33.8,,NGC 2623,129.6,129.6,+25.7541666666667,5.10,0.018509,5549.0,,,,,4509,129.600006,25.754444,1,0.6,15,5508,1.91,5.4,5538,83,6,8.7,75,5538,129.600006,153.1530576,11.0,22.5,33.5,,,,,
23,sn1999ek,SN 1999ek,,,A2.1: A1,0.017586667,5258.413433,84.1608868,16.65870888,33.42247539,0.178816907,,189.403,-8.234,5233.70918,,sn1999ek,0.01752,5253,5252.496,19.3,0.5,18.8,,UGC 3329,84.1375,84.1375,+16.6416666666667,4.41,0.017565,5266.0,,,,,3329,84.134995,16.640833,1.4,0.6,16,5253,2.29,0.9,5266,498,3,9.7,52,5266,84.134995,110.0739482,0.0,32.3,32.3,,,,,
24,sn1999ee,SN 1999ee,,,A2.1: A1,0.010543333,3152.456567,334.0041515,-36.84750908,32.52570816,0.170584475,,6.501,-55.93,3411.390413,,sn1999ee,0.01141,3407,3420.718,4.4,13.7,9.3,,IC 5179,334.0375,-25.9625,-36.8436111111111,1.46,0.011405,3419.2,,,,,35221,334.037506,-36.844997,3,1.6,12.4,3403,8.92,2,3419,423,4,13.6,63,3419,-25.962494,96.51530453,0.2,7.6,7.8,,,,,
25,sn1999dq,SN 1999dq,,,A2.1: A1,0.01349,4033.51,38.45407476,20.96482477,32.75116509,0.1427481,,152.839,-35.871,4268.429627,,sn1999dq,0.01433,4332,4296.134,63.6,35.9,27.7,,NGC 976,38.5,38.5,+20.9766666666667,1.19,0.01433,4296.1,,,,,2042,38.5,20.976946,1.7,1.6,12.9,4298,9.57,1.3,4296,323,1,32.6,52,4296,38.5,160.4283126,0.1,27.6,27.7,,,,,
26,sn1999dk,SN 1999dk,,,A2.1: A1,0.01389,4153.11,22.82045861,14.25713201,33.20570603,0.149233823,,137.349,-47.464,4457.097765,,sn1999dk,0.01496,4542,4485.008,84.9,57.0,27.9,,UGC 1087,22.8625,22.8625,+14.2772222222222,5.54,0.014957,4484.1,,,,,1087,22.860832,14.276944,1.6,1.6,15.1,4542,5.56,2.5,4485,137,3,42.1,75,4485,22.860832,157.8890164,0.9,27.9,27.0,,,,,
