DSS,SN,NED Preference,SIMBAD only,Differnt From DSS,subcatalog,zCMB,vCMB,SN Ra,SN Dec,mu,e_mu,sep,gal long (l),gal lat (b),DSSvhelio,sep,OSC SN name,redshift,OSC velocity,OSC vhelio,|v_DSS-v_OSC|,|OSC velocity-v_OSCvhelio|,|v_DSS-v_OSCvhelio|,sep,AOD Host,host ra deg,host ra wrap,host dec deg,hostoffsetdist,Host z,Host vhelio,SIMBAD Host,SIMBAD z,SIMBAD v,sep,AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc,RAwrap,Separation,|v_AGC-v_Host|,|v_AGC-v_DSS|,|v_Host-v_DSS|,sep,NED,SIMBAD,DR16,LEGACY
162,sn2004as,SN 2004as,,,A2.1: A1,0.032076667,9590.923433,171.3972936,22.81843663,35.17664465,0.166797753,,220.679,70.118,9269.623682,,sn2004as,0.031021,9300,9300.0958,30.4,0.1,30.5,,SDSS J112538.81+224952.2,171.4125,171.4125,+22.8302777777778,1.23,0.031394,9411.9,,,,,210322,171.38916,22.81889,1,0.9,14.6,6563,6.63,0,6471,178,0,0,-2,6471,171.38916,27.03864565,2940.9,2798.6,142.3,,,,,
163,sn2004l,SN 2004l,,,A2.1: A1,0.033376667,9979.623433,156.7770656,16.01413328,35.08851924,0.178654729,,223.786,54.793,9644.915374,,sn2004l,0.032309,9670,9686.2382,25.1,16.2,41.3,,MCG +03-27-38,156.7666667,156.7666667,+16.0180555555556,1.35,0.032293,9681.4,,,,,201444,156.766251,16.017778,0.75,0.75,15.2,9686,1.16,2.2,9697,52,6,12.6,75,9697,156.766251,39.65502198,15.6,52.1,36.5,,,,,
164,sn2003kf,SN 2003kf,,,A2.1: A1,0.007693333,2300.306567,91.18355283,-12.65558832,31.8134855,0.158800909,,219.159,-16.02,2208.780108,,sn2003kf,0.007388,2231,2214.9224,22.2,16.1,6.1,,MCG -02-16-02,91.14583333,91.14583333,-12.625,1.59,0.007388,2214.9,,,,,460003,91.140419,-12.620556,2.7,0.5,14,2215,20.8,0,2215,280,14,5.8,36,2215,91.140419,197.1383011,0.1,6.2,6.1,,,,,
165,sn2003iv,SN 2003iv,,,A2.1: A1,0.033476667,10009.52343,42.55409849,12.87248971,35.28954383,0.167859333,,162.495,-40.735,10227.94919,,sn2003iv,0.034307,10224,10285.2386,3.9,61.2,57.3,,MCG +02-08-14,42.5375,42.5375,+12.8438888888889,3.97,0.034307,10285.2,,,,,2320,42.544167,12.88,1.2,0.6,15.2,10373,1.42,1.2,10420,169,3,8,52,10420,42.544167,44.11149335,134.8,192.1,57.3,,,,,
166,sn2003it,SN 2003it,,,A2.1: A1,0.023983333,7171.016567,1.480447479,27.48833244,34.32077715,0.175558235,,110.661,-34.329,7509.64043,,sn2003it,0.025121,7531,7531.2758,21.4,0.3,21.6,,UGC 40,1.45,1.45,+27.4491666666667,2.32,0.025091,7522.3,,,,,40,1.451667,27.448889,1.2,0.7,15.2,7531,2.52,2.2,7522,388,2,12.8,75,7522,1.451667,169.1565546,0.3,12.4,12.6,,,,,
167,sn2003ic,SN 2003ic,,,A2.1: A1,0.054163333,16194.83657,10.4452016,-9.273546981,35.80030471,0.177907477,,115.232,-72.033,16523.41161,,sn2003ic,0.055672,16728,16690.4656,204.6,37.5,167.1,,MCG -02-02-86,10.45833333,10.45833333,-9.30416666666667,3.43,0.055359,16596.6,,,,,400347,10.449583,-9.284445,1.3,1.2,17,15912,0,0,0,0,0,0,0,15912,10.449583,42.20827519,684.6,611.4,73.2,,,,,
168,sn2003fa,SN 2003fa,,,A2.1: A1,0.039073333,11682.92657,265.9636781,40.86143952,35.38339234,0.153689199,,66.634,29.553,11751.29465,,sn2003fa,0.006004,11800,1799.9992,48.7,10000.0,9951.3,,ARK 527,266.0375,266.0375,+40.8675,27.38,0.040388,12108.3,,,,,270260,266.035828,40.867222,0.6,0.4,15,12108,0,0,0,0,0,0,0,12108,266.035828,197.5309012,0.3,356.7,357.0,,,,,
169,sn2003du,SN 2003du,,,A2.1: A1,0.006593333,1971.406567,218.654746,59.35621845,32.08911255,0.142924856,,101.18,53.219,1891.082028,,sn2003du,0.006381,1921,1913.0238,29.9,8.0,21.9,,UGC 9391,218.654,218.654,+59.3379,1.94,0.006352,1904.3,,,,,9391,218.653748,59.337498,1.8,1.1,15.5,1921,8.84,0,1921,140,15,0,2,1921,218.653748,67.41850881,16.7,29.9,13.2,,,,,
170,sn2003cq,SN 2003cq,,,A2.1: A1,0.033676667,10069.32343,179.0878107,60.54083914,35.05096642,0.20727079,,134.835,55.312,9930.737259,,sn2003cq,0.033283,9981,9978.2434,50.3,2.8,47.5,,NGC 3978,179.0458333,179.0458333,+60.5225,11.13,0.033176,9946.2,,,,,6910,179.042923,60.522221,1.7,1.6,13.2,9978,4.46,2.3,9968,188,6,13.2,56,9968,179.042923,103.9808887,21.8,37.3,15.4,,,,,
171,sn2003ch,SN 2003ch,,,A2.1: A1,0.02958,8844.42,109.5203222,9.728943765,35.01816068,0.171576627,,207.22,10.259,8662.460739,,sn2003ch,0.0268,7500,8034.64,1162.5,534.6,627.8,,UGC 3787,109.4916667,109.4916667,+9.68916666666667,3.12,0.02862,8580.3,,,,,174652,109.502922,9.689445,0.36,0.2,16.9,0,0,0,0,0,0,0,0,0,109.502922,155.0220397,8580.3,8662.5,82.2,,,,,
172,sn2003w,SN 2003w,,,A2.1: A1,0.021083333,6303.916567,146.6789683,16.01998964,33.9080417,0.149788924,,217.683,45.933,5986.664702,,sn2003w,0.020071,6017,6017.2858,30.3,0.3,30.6,,UGC 5234,146.7083333,146.7083333,+16.0433333333333,2.17,0.020067,6016.1,,,,,5234,146.706253,16.042778,1.7,1.1,14.9,6017,9.09,2.3,6012,344,2,47.6,75,6012,146.706253,125.0701993,4.1,25.3,29.4,,,,,
173,sn2003u,SN 2003u,,,A2.1: A1,0.02788,8336.12,260.5954405,62.18584981,34.49938353,0.161532501,,91.468,34.058,8384.042022,,sn2003u,0.028341,8549,8496.6318,165.0,52.4,112.6,,NGC 6365,260.6833333,260.6833333,+62.1661111111111,1.51,0.0263,7884.7,,,,,10833,260.680847,62.172779,1.1,0.2,14.6,8035,1.27,2.2,8004,109,8,5.7,68,8004,260.680847,151.01317,119.3,380.0,499.3,,,,,
174,sn2002kf,SN 2002kf,,,A2.1: A1,0.019486667,5826.513433,99.2572855,49.8252156,34.01863777,0.186505741,,165.587,18.244,5774.735114,,sn2002kf,0.0193,5800,5786.14,25.3,13.9,11.4,,CGCG 233-023,99.3125,99.3125,+49.8527777777778,0.48,0.0193,5786.1,,,,,160904,99.31958,49.849998,0.8,0.6,16.5,5786,0,0,0,0,0,0,0,5786,99.31958,169.9404609,0.1,11.3,11.4,,,,,
175,sn2002jy,SN 2002jy,,,A2.1: A1,0.020083333,6004.916567,20.2673852,40.52239895,34.22735642,0.150951484,,129.044,-22.019,6270.887093,,sn2002jy,0.0196,5867,5876.08,403.9,9.1,394.8,,NGC 477,20.33333333,20.33333333,+40.4877777777778,19.66,0.0196,5876.1,,,,,111187,20.288334,40.470001,0.8,0.5,14,5990,0,0,0,0,0,0,0,5990,20.288334,197.157962,113.9,280.9,394.8,,,,,
176,sn2002hu,SN 2002hu,,,A2.1: A1,0.038173333,11413.82657,34.52302921,37.44450583,35.26577146,0.157706057,,141.44,-22.262,11642.19151,,sn2002hu,0.036699,11000,11002.3602,642.2,2.4,639.8,,MCG +06-06-12,34.57916667,34.57916667,+37.4644444444444,7.31,0.040378,12105.3,,,,,125814,34.576668,37.464447,0.8,0.6,15.8,8994,0,0,0,0,0,0,0,8994,34.576668,169.2667924,3111.3,2648.2,463.1,,,,,
177,sn2002he,SN 2002he,,,A2.1: A1,0.024783333,7410.216567,125.0539477,62.82540357,34.28897332,0.183178892,,153.61,33.974,7327.352482,,sn2002he,0.024564,7364,7364.2872,36.6,0.3,36.9,,UGC 4322,125.0083333,125.0083333,+62.8313888888889,16.86,0.024564,7364.3,,,,,4322,125.006248,62.830833,1.4,1,15,7364,0,0,0,0,0,0,0,7364,125.006248,80.81665882,0.3,36.6,36.9,,,,,
178,sn2002hd,SN 2002hd,,,A2.1: A1,0.035973333,10756.02657,133.4872346,-7.23932192,34.83194875,0.190489137,,234.771,23.15,10449.27578,,sn2002hd,0.035001,10500,10493.2998,50.7,6.7,44.0,,MCG -01-23-08,133.5208333,133.5208333,-7.18305555555556,1.89,0.030835,9244.3,,,,,480072,133.519577,-7.183333,1.1,0.8,0,9244,0,0,0,0,0,0,0,9244,133.519577,232.3131897,0.3,1205.3,1204.9,,,,,
179,sn2002ha,SN 2002ha,,,A2.1: A1,0.012238467,3659.301633,311.8500055,0.302148994,33.0579447,0.154792572,,47.397,-25.375,3956.762438,,sn2002ha,0.014046,4254,4210.9908,297.2,43.0,254.2,,NGC 6962,311.829,-48.171,+0.320805555555556,5.87,0.014011,4200.5,,,,,11629,311.85083,0.300556,1.6,1.1,14.2,3804,0,0,0,0,0,0,0,3804,-48.14917,6.45737182,396.5,152.8,243.7,,,,,
180,sn2002fk,SN 2002fk,,,A2.1: A1,0.006993333,2091.006567,50.48631212,-15.41731909,31.66488065,0.148700242,,202.201,-53.16,2242.892836,,sn2002fk,0.007132,2257,2138.1736,14.1,118.8,104.7,,NGC 1309,50.52916667,50.52916667,-15.4,2.81,0.007125,2136.1,,,,,430210,50.527504,-15.4,2.4,2.2,12,2138,28.11,0,2138,161,10,0,2,2138,50.527504,155.9649516,1.9,104.9,106.8,,,,,
181,sn2002fb,SN 2002fb,,,A2.1: A1,0.01546,4622.54,29.47435015,36.37158686,33.41254301,0.174602802,,137.592,-24.634,4871.626081,,sn2002fb,0.015567,4879,4666.9866,7.4,212.0,204.6,,NGC 759,29.45833333,29.45833333,+36.3422222222222,4.72,0.015567,4667.0,,,,,1440,29.459583,36.343056,1.8,1.8,13.7,4667,0,0,0,0,0,0,0,4667,29.459583,111.2767976,0.0,204.6,204.6,,,,,
182,sn2002dp,SN 2002dp,,,A2.1: A1,0.01049,3136.51,352.1113634,22.46875814,32.6117938,0.157384064,,98.897,-36.542,3493.232435,,sn2002dp,0.011639,3445,3489.3722,48.2,44.4,3.9,,NGC 7678,352.1166667,-7.883333333,+22.4205555555556,8.18,0.011638,3489.1,,,,,12614,352.116241,22.420834,2.5,1.8,12.7,3489,9.89,2.3,3489,295,2,18.3,52,3489,-7.883759,173.2885441,0.1,4.2,4.2,,,,,
183,sn2002dj,SN 2002dj,,,A2.1: A1,0.01039,3106.61,198.2510802,-19.47975299,32.15146525,0.159686648,,309.895,43.061,2791.68443,,sn2002dj,0.009393,2794,2816.0214,2.3,22.0,24.3,,NGC 5018,198.2541667,198.2541667,-19.5180555555556,1.24,0.009393,2816.0,,,,,29357,198.253326,-19.518055,2.4,2.1,11.7,2841,1.9,0,2850,170,80,0,-1,2850,198.253326,138.0976917,34.0,58.3,24.3,,,,,
184,sn2002de,SN 2002de,,,A2.1: A1,0.02808,8395.92,244.1467322,35.73113462,34.74159016,0.15974083,,57.366,45.915,8350.487199,,sn2002de,0.028116,8382,8429.1768,31.5,47.2,78.7,,NGC 6104,244.125,244.125,+35.7069444444444,2.89,0.027894,8362.6,,,,,10309,244.127914,35.7075,0.9,0.7,14.1,8377,0,0,0,0,0,0,0,8377,244.127914,101.3142651,14.4,26.5,12.1,,,,,
185,sn2002cr,SN 2002cr,,,A2.1: A1,0.01029,3076.71,211.6610223,-5.440178552,32.50450221,0.154191288,,334.894,52.703,2807.156663,,sn2002cr,0.00948,2823,2842.104,15.8,19.1,34.9,,NGC 5468,211.6458333,211.6458333,-5.45361111111111,10.19,0.00948,2842.1,,,,,,,,,,,,,,,,,,,,,,No AGC Match,No AGC Match,34.9,,,,,
186,sn2002ck,SN 2002ck,,,A2.1: A1,0.030176667,9022.823433,236.7319299,-1.017442757,34.78916074,0.169606039,,6.544,39.299,8888.544874,,sn2002ck,0.029864,9277,8953.2272,388.5,323.8,64.7,,UGC 10030,236.752,236.752,-0.9849,8.85,0.029742,8916.7,,,,,10030,236.751678,-0.985556,1.4,0.8,15.4,8953,6.17,5.2,8960,212,8,7,68,8960,236.751678,135.0184103,43.3,71.5,28.1,,,,,
187,sn2002bz,SN 2002bz,,,A2.1: A1,0.037673333,11264.32657,216.2048187,26.62413367,35.281521,0.190671629,,36.895,69.232,11064.93868,,sn2002bz,0.037149,11090,11137.2702,25.1,47.3,72.3,,MCG +05-34-33,216.1708333,216.1708333,+26.6252777777778,3.96,0.037128,11131.0,,,,,726518,216.226242,26.646389,0.3,0.21,17.2,10601,0,0,0,0,0,0,0,10601,216.226242,105.6963674,530.0,463.9,66.0,,,,,
188,sn2002g,SN 2002g,,,A2.1: A1,0.034493863,10313.66504,196.9831801,34.07632387,34.71293737,0.359924193,,96.946,82.193,10072.11677,,sn2002g,0.033737,10111,10114.3526,38.9,3.4,42.2,,CGCG 189-024,196.9791667,196.9791667,+34.0872222222222,4.14,0.033647,10087.4,,,,,230106,196.977921,34.087219,0.6,0.6,15.5,10114,0,0,0,0,0,0,43,10114,196.977921,42.24086712,26.6,41.9,15.3,,,,,
189,sn2001ie,SN 2001ie,,,A2.1: A1,0.031176667,9321.823433,154.2174676,60.25281214,34.8158833,0.187722868,,150.371,47.783,9183.693647,,sn2001ie,0.030738,9230,9215.2524,46.3,14.7,31.6,,UGC 5542,154.2208333,154.2208333,+60.2847222222222,11.60,0.030614,9178.1,,,,,5542,154.220413,60.284443,1,1,14.9,9230,0,0,0,0,0,0,0,9230,154.220413,113.9924535,51.9,46.3,5.6,,,,,
190,sn2001ic,SN 2001ic,,,A2.1: A1,0.04287,12818.13,347.6717532,7.55169819,35.46756393,0.225711548,,84.226,-47.59,13189.10445,,sn2001ic,0.044241,13246,13263.4518,56.9,17.5,74.3,,NGC 7503,347.675,-12.325,+7.5675,10.95,0.044089,13217.9,,,,,330094,347.675842,7.5675,0.7,0.7,14.9,13262,0,0,0,0,0,0,0,13262,-12.324158,58.72814243,44.1,72.9,28.8,,,,,
191,sn2001fe,SN 2001fe,,,A2.1: A1,0.01429,4272.71,144.5103074,25.49920652,33.14667741,0.157833407,,203.7,46.879,3987.358296,,sn2001fe,0.013539,4035,4058.9922,47.6,24.0,71.6,,UGC 5129,144.4916667,144.4916667,+25.4952777777778,2.52,0.013519,4053.0,,,,,5129,144.490829,25.493889,1.8,0.8,14.3,4035,5.45,2.1,4063,317,4,33.2,75,4063,144.490829,66.12470286,10.0,75.6,65.6,,,,,
192,sn2001ep,SN 2001ep,,,A2.1: A1,0.01289,3854.11,74.29365823,-4.734638063,32.93858026,0.226899179,,203.604,-27.55,3874.435926,,sn2001ep,0.013012,3901,3900.9976,26.6,0.0,26.6,,NGC 1699,74.25,74.25,-4.75777777777778,2.35,0.013129,3936.1,,,,,440420,74.248337,-4.756945,0.9,0.6,15,3936,0,0,0,0,0,0,0,3936,74.248337,181.3468835,0.1,61.6,61.6,,,,,
193,sn2001en,SN 2001en,,,A2.1: A1,0.015566667,4654.433433,21.3304381,34.04695071,33.281995,0.189664345,,130.918,-28.32,4934.663521,,sn2001en,0.015871,4857,4758.1258,77.7,98.9,176.5,,NGC 523,21.3375,21.3375,+34.025,6.81,0.015881,4761.1,,,,,979,21.336248,34.024723,3.2,0.8,13.5,4824,11.33,2.4,4761,474,5,43.7,75,4761,21.336248,81.87538108,0.1,173.7,173.5,,,,,
194,sn2001eh,SN 2001eh,,,A2.1: A1,0.036273333,10845.72657,24.51151613,41.63144242,35.29639703,0.143297736,,132.226,-20.371,11096.76688,,sn2001eh,0.037039,11117,11104.2922,20.2,12.7,7.5,,UGC 1162,24.56666667,24.56666667,+41.6538888888889,22.20,0.037036,11103.4,,,,,1162,24.564585,41.653889,1.6,1.6,15.1,11131,0,0,0,0,0,0,0,11131,24.564585,164.0529735,27.6,34.2,6.6,,,,,
195,sn2001da,SN 2001da,,,A2.1: A1,0.015986667,4780.013433,358.3994383,8.086439781,33.59764536,0.170041528,,99.199,-52.067,5144.980511,,sn2001da,0.017195,5155,5155.061,10.0,0.1,10.1,,NGC 7780,358.3833333,-1.616666667,+8.11805555555556,2.70,0.017381,5210.8,,,,,12833,358.384155,8.117778,1.1,0.6,14.8,5155,0.98,0.7,5210,387,6,5.5,52,5210,-1.615845,125.2791485,0.8,65.0,65.8,,,,,
196,sn2001bf,SN 2001bf,,,A2.1: A1,0.015286667,4570.713433,270.3691859,26.30281458,33.10380774,0.154548133,,52.155,21.963,4661.469467,,sn2001bf,0.015501,4663,4647.1998,1.5,15.8,14.3,,MCG +04-42-22,270.3916667,270.3916667,+26.2533333333333,2.08,0.015501,4647.2,,,,,270796,270.389587,26.252777,0.35,0.25,14.8,4679,0,0,0,0,0,0,0,4679,270.389587,191.7954289,31.8,17.5,14.3,,,,,
197,sn2001az,SN 2001az,,,A2.1: A1,0.04057,12130.43,248.511094,76.0599419,35.41799263,0.171924824,,108.954,34.292,12159.68147,,sn2001az,0.040701,12200,12202.1598,40.3,2.2,42.5,,UGC 10483,248.6208333,248.6208333,+76.0294444444444,2.85,0.04069,12198.9,,,,,10483,248.62001,76.029167,1.2,0.5,16,12202,0,0,0,0,0,0,0,12202,248.62001,145.6575999,3.1,42.3,39.2,,,,,
198,sn2001ah,SN 2001ah,,,A2.1: A1,0.05826,17419.74,167.6166791,55.19578282,36.20428965,0.187150516,,149.138,56.528,17246.39562,,sn2001ah,0.057756,16800,17315.2488,446.4,515.2,68.9,,UGC 6211,167.625,167.625,+55.17,26.05,0.057763,17317.3,,,,,6211,167.625839,55.169445,1.2,0.8,16,16789,0,0,0,0,0,0,0,16789,167.625839,96.66742462,528.3,457.4,71.0,,,,,
199,sn2001n,SN 2001n,,,A2.1: A1,0.022083333,6602.916567,160.0084801,24.07096584,34.14173632,0.183687111,,211.355,60.29,6288.440793,,sn2001n,0.021025,6288,6303.295,0.4,15.3,14.9,,NGC 3327,159.9916667,159.9916667,+24.0919444444444,1.62,0.021028,6304.2,,,,,5803,159.991257,24.091112,1.4,0.9,14.2,6288,3.87,1.9,6315,312,5,25.3,75,6315,159.991257,92.00215331,10.8,26.6,15.8,,,,,
200,sn2001g,SN 2001g,,,A2.1: A1,0.017286667,5168.713433,137.380361,50.29508764,33.52497087,0.156050846,,168.318,42.307,5000.907219,,sn2001g,0.01677,4500,5027.646,500.9,527.6,26.7,,MCG +08-17-43,137.3875,137.3875,+50.2822222222222,1.19,0.016703,5007.6,,,,,191474,137.387909,50.282776,0.6,0.15,0,4888,0,0,0,0,0,0,0,4888,137.387909,47.60084711,119.6,112.9,6.7,,,,,
201,sn1999ej,SN 1999ej,,,A2.1: A1,0.015566667,4654.433433,20.70373877,33.5163475,33.45644187,0.189378726,,130.441,-28.946,4937.738707,,sn1999ej,0.01372,4114,4113.256,823.7,0.7,824.5,,NGC 495,20.73333333,20.73333333,+33.4713888888889,6.15,0.013723,4114.2,,,,,110272,20.715418,33.517223,0.35,0.25,0,4132,0,0,0,0,0,0,0,4132,20.715418,35.19552725,17.8,805.7,823.6,,,,,
202,SN2004ef,SN 2004ef,,,A2.1: A1,0.02977,8901.23,340.5426411,19.9916596,34.72185776,0.154064565,,85.921,-33.427,9259.767253,,SN2004ef,0.029771,9286,8925.3458,26.2,360.7,334.4,,UGC 12158,340.5441667,-19.45583333,+19.9968888888889,0.40,0.030988,9290.2,,,,,12158,340.543762,19.996668,1.3,1.1,15.3,9286,4.13,3.9,9297,147,9,8,52,9297,-19.456238,18.42468491,6.8,37.2,30.4,,,,,
203,SN2004eo,SN 2004eo,,,A2.1: A1,0.014566744,4355.456456,308.2233896,9.932530759,33.20780043,0.158282771,,54.168,-17.274,4641.971461,,SN2004eo,0.014734,4712,4417.2532,70.0,294.7,224.7,,NGC 6928,308.2083333,-51.79166667,+9.92638888888889,16.90,0.015624,4684.1,,,,,11589,308.209564,9.926945,2.2,0.6,13.7,4707,8.87,1.2,4684,442,1,19.1,52,4684,-51.790436,52.99024228,0.1,42.0,42.1,,,,,
204,SN2004ey,SN 2004ey,,,A2.1: A1,0.01463,4374.37,327.2804273,0.444576012,33.34613269,0.158353123,,57.471,-38.272,4719.117957,,SN2004ey,0.014627,4748,4385.1746,28.9,362.8,333.9,,UGC 11816,327.28,-32.72,+0.447305555555556,3.46,0.015841,4749.1,,,,,11816,327.280029,0.447222,1.6,1.5,14.8,4751,9.36,2.1,4749,135,1,38.7,52,4749,-32.719971,9.632866639,0.1,29.9,30.0,,,,,
205,SN2004gc,SN 2004gc,,,A2.1: A1,0.0321,9597.9,80.45893098,6.675745712,34.60461696,0.156300453,,196.2,-16.49,9587.527988,,SN2004gc,0.030715,9066.8,9208.357,520.7,141.6,379.2,,ARP 327,80.457375,80.457375,+6.67669444444445,1.85,0.030011,8997.3,,,,,150155,80.457916,6.676944,0.5,0.1,17.4,9620,0,0,0,0,0,0,64,9620,80.457916,5.637367806,622.7,32.5,590.2,,,,,
206,SN2004gs,SN 2004gs,,,A2.1: A1,0.02828,8455.72,129.5944291,17.62934515,34.77065932,0.154111516,,207.963,31.311,8194.395255,,SN2004gs,0.027498,7988,8243.9004,206.4,255.9,49.5,,MCG +03-22-20,129.5995833,129.5995833,+17.6311944444444,0.49,0.027399,8214.2,,,,,180410,129.599167,17.63139,0.66,0.55,0,8214,0,0,0,0,0,0,0,8214,129.599167,17.8444947,0.2,19.6,19.8,,,,,
207,SN2004gu,SN 2004gu,,,A2.1: A1,0.0469,14023.1,191.6035635,11.94378763,35.64346124,0.183883323,,298.246,74.775,13702.27905,,SN2004gu,0.045858,13600,13748.2284,102.3,148.2,45.9,,FGC 175A,191.6041667,191.6041667,+11.9494444444444,3.44,0.045587,13667.0,,,,,226495,191.603333,11.949445,0.68,0.1,17.5,13748,0,0,0,0,0,0,0,13748,191.603333,20.38270564,81.0,45.7,35.3,,,,,
208,SN2005A,SN 2005A,,,A2.1: A1,0.018239285,5453.546215,37.67929646,-2.940450539,33.74073557,0.162091149,,171.679,-56.108,5689.25448,,SN2005A,0.01914,5738,5738.172,48.7,0.2,48.9,,NGC 958,37.67916667,37.67916667,-2.93916666666667,1.36,0.01915,5741.2,,,,,420126,37.676666,-2.939167,3.1,1.1,13,5738,27.37,7,5741,570,3,11.4,68,5741,37.676666,10.52567112,0.2,51.7,51.9,,,,,
209,SN2005M,SN 2005M,,,A2.1: A1,0.02297,6868.03,144.3910625,23.19900799,34.3990885,0.153782023,,206.896,46.215,6575.702547,,SN2005M,0.022972,6599,6887.0056,23.3,288.0,311.3,,NGC 2930,144.385833,144.385833,23.2025,2.02,0.02462,7381.1,,,,,190782,144.385406,23.202501,0.7,0.4,15.1,6599,1.42,0,7376,0,0,0,38,7376,144.385406,22.54857367,5.1,800.3,805.4,,NED,SIMBAD,,
210,SN2005al,SN 2005al,,,A2.1: A1,0.016094468,4812.245932,207.5016136,-30.5803357,33.29674071,0.161824716,,317.581,30.624,4544.625369,,SN2005al,0.013286,3730,3983.1428,814.6,253.1,561.5,,NGC 5304,207.5061667,207.5061667,-30.5785,0.13,0.012402,3718.1,,,,,30128,207.506241,-30.579168,1.5,1.1,13.6,3716,0,0,0,0,0,0,0,3716,207.506241,14.94517076,2.1,828.6,826.5,,,,,
211,SN2005be,SN 2005be,,,A2.1: A1,0.03558,10638.42,224.8835518,16.66930332,35.10171872,0.159815482,,20.173,58.608,10458.57704,,SN2005be,0.035001,10500,10493.2998,41.4,6.7,34.7,,WISEA J145933.08+164006.,224.88782,224.88782,16.668583,6.94,0.03356,10061.3,,,,,745914,224.887924,16.668333,0.3,0.17,14.9,10069,0,0,0,0,0,0,0,10069,224.887924,15.4778402,7.7,389.6,397.3,,NED,SIMBAD,,
212,SN2005bg,SN 2005bg,,,A2.1: A1,0.023839826,7128.107974,184.3229601,16.37398474,34.35008941,0.162566114,,264.851,76.647,6801.722717,,SN2005bg,0.024159,6921,7242.8682,119.3,321.9,441.1,,KUG 1214+166,184.321792,184.321792,16.3715,0.21,0.02303,6904.4,,,,,220294,184.320847,16.371111,0.7,0.7,15.2,6921,5.01,2.3,6918,186,4,35.3,75,6918,184.320847,12.66093997,13.6,116.3,102.7,,NED,SIMBAD,,
213,SN2005bo,SN 2005bo,,,A2.1: A1,0.015557429,4651.671271,192.4230323,-11.09939889,33.13859189,0.161742866,,302.236,51.773,4313.925501,,SN2005bo,0.015013,4107,4500.8974,206.9,393.9,187.0,,NGC 4708,192.422833,192.422833,-11.093028,14.00,0.0139,4167.2,,,,,520167,192.421661,-11.092777,1.4,1,0,4103,0,0,0,0,0,0,0,4103,192.421661,24.32605018,64.2,210.9,146.7,,NED,SIMBAD,,
214,SN2005el,SN 2005el,,,A2.1: A1,0.01488,4449.12,77.95062894,5.197141832,33.20780043,0.158282771,,196.184,-19.389,4453.578253,,SN2005el,0.014885,4826,4462.523,372.4,363.5,8.9,,NGC 1819,77.94329167,77.94329167,+5.20069444444444,9.09,0.01491,4470.0,,,,,3265,77.942497,5.200555,1.7,1.2,13.7,4448,2.83,0,4463,357,0,0,-1,4463,77.942497,31.63808285,7.0,9.4,16.4,,,,,
215,SN2005eq,SN 2005eq,,,A2.1: A1,0.02835,8476.65,47.20574611,-7.030831378,34.70232924,0.154046134,,187.633,-51.732,8658.303015,,SN2005eq,0.028351,9014,8499.6298,355.7,514.4,158.7,,MCG -01-09-06,47.2,47.2,-7.04055555555556,13.94,0.028907,8666.3,,,,,430063,47.201252,-7.040555,1.4,0.4,10,8687,4.29,0,9014,439,6,11.6,43,9014,47.201252,38.51206387,347.7,355.7,8.0,,,,,
216,SN2005iq,SN 2005iq,,,A2.1: A1,0.03293,9846.07,359.6348511,-18.70862416,35.05313595,0.156769013,,64.85,-75.211,10173.23776,,SN2005iq,0.032929,10206,9872.1142,32.8,333.9,301.1,,MCG -03-01-08,359.6333333,-0.3666666667,-18.7138888888889,9.42,0.034044,10206.4,,,,,36511,359.632507,-18.71389,1.4,0.7,15.5,10206,0,0,0,0,0,0,0,10206,-0.367493,20.57310835,0.4,32.8,33.2,,,,,
217,SN2005kc,SN 2005kc,,,A2.1: A1,0.01389,4153.11,338.5296543,5.571490639,33.22757007,0.158292417,,72.338,-43.413,4518.990347,,SN2005kc,0.01512,4462,4532.976,57.0,71.0,14.0,,NGC 7311,338.525,-21.475,+5.57138888888889,6.04,0.01509,4524.0,,,,,12080,338.528351,5.57,1.8,0.9,13.4,4488,3.71,0.6,4524,509,1,19.6,52,4524,-21.471649,7.113611697,0.0,5.0,5.0,,,,,
218,SN2005ki,SN 2005ki,,,A2.1: A1,0.02037,6090.63,160.117299,9.204483162,33.84906627,0.155715799,,236.803,54.279,5737.779898,,SN2005ki,0.019207,5727,5758.2586,10.8,31.3,20.5,,NGC 3332,160.118375,160.118375,+9.18258333333333,0.09,0.019458,5833.5,,,,,5807,160.118332,9.182222,1.4,1.4,13.7,5867,2.41,3,5834,311,51,10.2,75,5834,160.118332,80.22421975,0.5,96.2,95.7,,,,,
219,SN2005lu,SN 2005lu,,,A2.1: A1,0.03129,9355.71,39.0166275,-17.26445745,35.22791192,0.156983371,,196.178,-63.92,9563.61048,,SN2005lu,0.031293,9650,9381.6414,86.4,268.4,182.0,,MCG -03-07-40,39.01666667,39.01666667,-17.2638888888889,2.19,0.032009,9596.3,,,,,21974,39.014999,-17.263056,1.2,1,16,9650,0,0,0,0,0,0,0,9650,39.014999,7.536394991,53.7,86.4,32.7,,,,,
